marker-color,Address,Activity,Activity Name,Date,Description,lon,lat
#ff0000,"415 Porto Alegre St, Indianapolis, IN 46202",Housing ,IUPUI,NA,NA,-86.18682146072388,39.775841432426596
#ff0000,"5255 Winthrop Ave, Indianapolis, IN 46220",Housing ,The Speak Easy,NA,NA,-86.14083766937256,39.83264721520348
#ff0000,"85 E Cedar St , Zionsville, IN 46077",Housing ,zWORKS,NA,NA,-86.26020669937134,39.950131747894396
#ff0000,"12175 Visionary Way, Fishers, IN 46038",Housing ,Launch Fishers,NA,NA,-86.00903928279877,39.96646829120857
#ff0000,"350 Massachusetts Ave, Indianapolis, IN 46204",Housing ,Industrious Mass Ave,NA,NA,-86.10208511352539,39.80093671440876
#ff0000,"525 S Meridian St, Indianapolis, IN 46225",Housing ,Launch Indy,NA,NA,-86.15823984146118,39.69979076426969
#00fbff,"333 Massachusetts Ave. Indianapolis, IN 46204",Restaurants,Bazbeaux Pizza,NA,"Since 1986, Bazbeauxs has served dozens of signature pizzas with traditional and exotic toppings on handcrafted crusts alongside salads and sandwiches",-86.15338202565908,39.771523135878425
#00fbff,"1031 E. 54th St Indianapolis, IN 46220",Restaurants,Mama Carolla's,NA,"Mama Carolla’s is a Broad Ripple bungalow turned restaurant that serves classic, hearty Italian dishes in a relaxed dining experience that feels like being at your Italian grandmother’s home.",-86.1408805847168,39.85077034522932
#00fbff,"153 S. Illinois St. Indianapolis, IN 46225",Restaurants,Harry & Izzy's,NA,Harry & Izzy’s is the casual version of its sister restaurant St. Elmo that bridges steakhouse with modern American cuisine.,-86.16008419543505,39.76461788532285
#00fbff,"720 N. College Ave. Indianapolis, IN 46202",Restaurants,Livery,NA,"Horse stable turned Latin-inspired restaurant, Livery relies on bright colors and dark furniture to transform your Indy dining night out into a southwest culinary experience.",-86.14564418792725,39.77664950461225
#00fbff,"4050 Dandy Tr. Indianapolis, IN 46254",Restaurants,Rick's Cafe Boatyard,NA,"Rick's Cafe Boatyard specializes in seafood, prime steaks, and pastas with inside and outdoor dining overlooking Eagle Creek Reservoir.",-86.30123376846313,39.8275718816707
#00fbff,"7460 N. Shadeland Ave. Indianapolis, IN 46250",Restaurants,Caplingers Fresh Catch,NA,"This family-owned business has more than 125 years experience in the seafood business and serves a variety of fish sandwiches - both grilled and fried - as well as lobster, octopus, calamari, scallops, and more. ",-86.04693755507469,39.890310550162134
#00fbff,"1435 E. 86th St., Ste. B Indianapolis, IN 46240",Restaurants,Big Lug Canteen,NA,The Northside’s Big Lug Canteen combines the casual atmosphere of your favorite neighborhood restaurant with the quality food and menu items as somewhere to where you would venture on a night out.,-86.13613978028297,39.91171645812341
#00fbff,"5646 E. Washington St. Indianapolis, IN 46219",Restaurants,Jockamo Upper Crust Pizza,NA,"Specializing in gourmet pizzas using fresh, local ingredients.",-86.07090845704079,39.77100413869248
#00fbff,"2503 N. Delaware St. Indianapolis, IN 46205",Restaurants,Goose The Market,NA,The modern neighborhood grocery and butcher shop caters to both ambitious home cooks in need of unique and select ingredients and hungry diners who want to bite into crusty bread sandwiches.,-86.15283250808716,39.80306329185461
#00fbff,"808 S. Meridian St. Indianapolis, IN 46225",Restaurants,Shapiro's Delicatessen,NA,"Famous for their award winning, piled-high sandwiches since 1905, Shapiro’s Kosher-style Delicatessen is Indianapolis’ most iconic restaurant!",-86.15948840975761,39.7562930388578
#ff00d4,"100 South Capitol Ave. Indianapolis, IN 46225",Conference,Performance Racing Industry Show,Dec 9-11 2021,"World-class business and management education is a hallmark of PRI. The PRI Education program runs the gamut from Social Media Strategy to Pricing Policies, Sponsorship Activation, Building Brand Awareness, and much more.",-86.16407632827759,39.76434599060146
#51ff00,"500 West Washington Street Indianapolis, IN 46204",Event,Eiteljorg Museum,Anytime,"The Eiteljorg tells the stories of the peoples of North America in all their diversity and complexity. It’s a place for historical context, artistic expression, new ideas and individual perspectives. Here, visitors immerse themselves in the diverse cultures of the West and Native America, and sharing these amazing American stories is what we do at the Eiteljorg.",-86.16775766015053,39.768508568288304
#51ff00,"1202 E. 38th St., Indianapolis, IN",Event,Norfolk Admirals vs. Indy Fuel,Dec 28 2021,"The Indy Fuel brought professional hockey back to Indianapolis, and skates against rivals in the ECHL -- the premier 'AA' league for the NHL.",-86.13986302167177,39.826297839926305
#51ff00,"650 W. Washington St., Indianapolis, IN 46204",Event,Under the Sea 3D,Nov 3 2021,"""Under the Sea 3D"", a new IMAX® 3D adventure, transports moviegoers to some of the most exotic and isolated undersea locations on Earth, including Southern Australia, New Guinea and others in the Indo-Pacific region, allowing them to experience face-to-face encounters with some of the most mysterious and stunning creatures of the sea.",-86.16997852921486,39.76850135254672
#51ff00,"125 S. Pennsylvania St., Indianapolis, IN 46204",Event,Jim Gaffigan,Nov 19 2021,"Gaffigan is a six-time Grammy nominated comedian, actor, writer, producer, two-time New York Times best-selling author, two-time Emmy winning top touring performer, and multi-platinum-selling recording artist. He is known around the world for his unique brand of humor, which largely revolves around his observations on life.",-86.15549426525831,39.76405888922791
#51ff00,"3 Center Green, Carmel, IN 46032",Event,Elf the Musical,Dec 3 2021,"Based on the cherished 2003 New Line Cinema hit, Elf.",-86.1307954788208,39.96857740683574
